iter	Passed	Remaining
0	2	202
1	3	181
2	5	174
3	7	182
4	9	183
5	11	179
6	13	175
7	14	169
8	16	165
9	18	163
10	19	159
11	21	156
12	23	155
13	25	155
14	27	153
15	28	151
16	30	148
17	31	145
18	33	143
19	35	141
20	37	141
21	39	140
22	41	137
23	42	135
24	44	133
25	46	131
26	47	129
27	49	126
28	50	124
29	53	125
30	55	124
31	57	122
32	59	120
33	60	118
34	62	116
35	64	113
36	65	112
37	68	112
38	70	110
39	72	108
40	74	107
41	74	103
42	76	101
43	78	99
44	79	97
45	81	95
46	83	94
47	85	92
48	86	90
49	88	88
50	90	86
51	91	84
52	93	82
53	95	81
54	96	78
55	98	77
56	100	75
57	102	73
58	103	72
59	105	70
60	106	68
61	108	66
62	110	64
63	112	63
64	114	61
65	116	60
66	118	58
67	119	56
68	121	54
69	122	52
70	124	50
71	126	49
72	128	47
73	131	46
74	133	44
75	135	42
76	136	40
77	138	39
78	140	37
79	141	35
80	143	33
81	145	31
82	147	30
83	148	28
84	150	26
85	151	24
86	153	22
87	155	21
88	157	19
89	159	17
90	161	15
91	163	14
92	165	12
93	167	10
94	168	8
95	170	7
96	172	5
97	175	3
98	177	1
99	178	0
